timestamp_utc,annotator,pair_key,id_query,id_dataset,main_resource,scope,supporting_field,quote,reason,relevance,notes
2026-09-07T14:48:30.487615+00:00,humano_2,123||ea0042931-precio-final-horas-provisionales-2020,123,ea0042931-precio-final-horas-provisionales-2020,dana,,,,unrelated,false,
2026-09-07T14:49:50.068524+00:00,humano_2,68||a04003003-distritos-censales1,68,a04003003-distritos-censales1,ayuntamientos,,,,unrelated,false,
2026-09-07T14:51:26.341164+00:00,humano_2,10||a06004074-censo-de-ganado2,10,a06004074-censo-de-ganado2,poblacion,,title,Censo de Ganado,subtype,true,poblacion puede ser de animles
2026-09-07T14:54:17.952447+00:00,humano_2,150||l01280148-subvenciones-2022,150,l01280148-subvenciones-2022,ayudas,,title,Subvenciones,direct_match,true,
2026-09-07T14:54:30.392085+00:00,humano_2,11||a04003003-zonas-interes-minero1,11,a04003003-zonas-interes-minero1,multas,,,,unrelated,false,
2026-09-07T14:54:57.597067+00:00,humano_2,54||l01140060-gestion-de-residuos-epremasa1,54,l01140060-gestion-de-residuos-epremasa1,residuos,,title,Gestión de residuos,direct_match,true,
2026-09-07T14:55:17.181830+00:00,humano_2,47||l01140517-callejero1,47,l01140517-callejero1,callejero,,title,Callejero,direct_match,true,
2026-09-07T14:55:41.914917+00:00,humano_2,4||l01280148-cartas-de-servicios1,4,l01280148-cartas-de-servicios1,empresas,,,,insufficient_evidence,false,
2026-09-07T14:55:57.371138+00:00,humano_2,84||a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,84,a05003423-estancias-causadas-en-hospitales-de-canarias-segun-comunidades-y-provincias-de-residencia-2014,cnae,,,,unrelated,false,
2026-09-07T14:56:31.227637+00:00,humano_2,37||a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,37,a09002970-instalacion-de-produccion-de-energia-electrica-datos-individualizados,energia,,title,producción de energía eléctrica,subtype,true,
2026-09-07T14:59:14.870021+00:00,humano_2,140||a02002834-carreteras-informacion-geografica1,140,a02002834-carreteras-informacion-geografica1,cartografia,,title,información geográfica,subtype,true,
2026-09-07T14:59:26.593778+00:00,humano_2,113||l01140673-consumo-electrico-municipal,113,l01140673-consumo-electrico-municipal,electricidad,,title,eléctrico,direct_match,true,
2026-09-07T14:59:34.093140+00:00,humano_2,53||a04003003-puntos-limpio,53,a04003003-puntos-limpio,futbol,,,,unrelated,false,
2026-09-07T15:00:09.382223+00:00,humano_2,103||turismo-visitas-concertadas,103,turismo-visitas-concertadas,bienes de interes cultural,,,,unrelated,false,
2026-09-07T15:00:23.784494+00:00,humano_2,38||l01280148-bienestar-social-emergencia-social,38,l01280148-bienestar-social-emergencia-social,catastro,,,,unrelated,false,
2026-09-07T15:00:46.892824+00:00,humano_2,45||a04003003-estaciones-bombeo-abastecimiento-abaqua1,45,a04003003-estaciones-bombeo-abastecimiento-abaqua1,incendios,,title,Estaciones Bombeo,subtype,true,
2026-09-07T15:00:57.636597+00:00,humano_2,73||l01140121-alojamientos-de-turismo1,73,l01140121-alojamientos-de-turismo1,hoteles,,title,turismo,direct_match,true,
